Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10
Client;Adresse ;Wilaya;Pays ;Tel;Fax;Email;Web;Produit;Note
ENTREPRISE NA TIONALE DES GRANULA TS - ENG;Z.A GUE DE CONSTANTINE BT N°4 KOUBA;ALGER;Algerie;023.29.63.37/38/39;023.29.63.30/31;zitounis@yahoo.fr/dc@eng.dz;;;
SARL ALMEXOL ALGERIE;CITE 22 LOGTS BT B AZAZGA W. TIZI ofiz80Se;TIZI-OUZOU;Algerie;021 81 98 94/0770 49 12 05 ;021 81 98 94;almexol@almex.fr/rouiba@almexol.fr;www.almex.fr;;
SARL TESMETAL;CITE BENOUADAN HAMADI;BOUMERDES;Algerie;0556 93 02 80;;;;;
2MP INDUSTRY SPA (MOUSSAOUI INDUSTRY);LOT N°39 CITE AIDJA ETAGE N°2ZONE INDUSTRIELLE BOUFARIK NORD 09400 W.BLIDA;BLIDA;Algerie;025.28.39.46/39;025.28.39.46;contact@2mp-dz.com;;;
ASKY PRINT ALGERIE;CITE DES ABBATTOIRES N°54 LOCAL A STAOUELI ALGER;ALGER;Algerie;021 39 25 24;021 39 37 81;com mercial@askyprint-dz.com/n.chaouti@askyprint-dz.com;;;
CTS RAHMOUNE;ZONE INDUSTRIELLE OUED SLY W.CHLEF;CHLEF;Algerie;027.71.18.45/29;027.71.17.48/;ctschlef@hotmail.com;;;
ETS SIADAUTOMOBILES SPA;BD COLONEL AHMEDZAIDAT RN12 15300 AZAZGA;TIZI-OUZOU;Algerie;026.141 133;026.14.11.22;siad@groupesiad-dz.com;www.siad-dz.com;;
EURL AMMOUR BUILDING CORPORA TION.DZ;SIDI AEK CITE MOULOUD N 06 09000 BLIDA;BLIDA;Algerie;0552 12 12 98;025.24.63.20;info@ammour.com;;;
EURL DELUXEMARBRE;CITE DJILALI DARAI OUELD HEDADJ BOUMERDES;ALGER;Algerie;024 97 98 21;024 97 98 21;faouzi.ahmedali@delux-marbre.com;;;
EURL GOLFARABES;CITE LES ROSIERS SNTR;ALGER;Algerie;0550 50 91 09 ;;;;;
EURL IMA DA CHE CONS TRUC TION MET ALL IQUE;ROUTE N°26 ZAC BOUZEROUAL AKBOU BEJAIA;BEJAIA;Algerie;0560.03.60.25/0560 ;03 60 22/24 034.36.00.65;eicm_akbou@yahoo.fr/ commercial@icm-dz.com;;;
EURL PROM A ECO;LOT 09 SEC 02 ROUTE DE RAHMANIA CODE ABC DOUERA;ALGER;Algerie;;;;;;
EURL RAISCOUR;85 ZEA 5eme TRANCHE W.SETIF;SETIF;Algerie;036.44.91.30;036.44.94.16;infos@raiscour.com;;;
EURL SERVICE FORAGE ET TOURNAGE (SFT);LONT N°04 GROUPE DE PROPRIETE 208 OULED HADDADI BOUMERDES;BOUMERDES;Algerie;024 70 36 81/82 ;024 70 36 81/82 ;aymen.fourage@gmail.com;;;
EURL SIHRBRAOIMPORT/EXPORT;Mechyat Zegagra , Bazar Sekhra , EL EULMA SETIF;SETIF;Algerie;0550.44.62.67;036.86.23.80;gheraibcherif@hotmail.fr;;;
EURL YAHIA CHERIFNET;142 RESIDENCE EL ANDALOUS TIXERAINE ALGER;ALGER;Algerie ;023 46 03 01;023 46 03 01;;;;
GAEA PROMOTIONIMMOBILIERE;CITE AISSAT IDIR N 196 CHERAGA;ALGER;Algerie;0555 04 97 79;;;;;
IP-FIG FORMATION;COOPERATIVE ENNADJAH 1 N°78 DELY BRAHIM ALGER;ALGER;Algerie;023 36 24 42;023 36 24 42;contact@ipfig.com;;;
MORTEROSPA;288 RUE DE LILLE ARRIEVE PORT BEDJAIA;BEJAIA;Algerie;034.22.63.62;034.22.63.62;lounes madaoui@cceramica-madaoui_com;;;
AM TURE ETANCHE EURL;CITE 360 LOGEMENT BT A 7N°3 BEN AKNOUNE 16306 ALGER;ALGER;Algerie;021 94 53 42;021 94 53 42;WWW.NATURETANCHE.COM;;;
PROFILSAN PRODUCTION;HA I OULED BRAHIM N°892 HAMADI;ALGER;Algerie;;;;;;
SARL GIPAR;BP,381 zone industrielle route de m4sila bba;BORDJ-BOU-ARRERIDJ;Algerie;035/87/32/36-37;035/87/32/39;mea_mecheri@yahoo.fr;;;
SARL MARCINE PLOMBERIE;EL HAMIZ 04 LOCAL 113 DAR EL BEIDA ALGER;ALGER;Algerie;661384101;023 85 60 98;russ85@hotmail.com;;;
SARL ABEPLAST;Z D BEN DHAANOUN LOT 4 N 402 KHEMIS EL KHECHNA;BOUMERDES;Algerie;024 97 61 78;024 97 61 79;abeplast@gmail.com;;;
SARL ARES BUILDING;16 RUE FABRI FAMILLIAL CITE POINT DU JOUR;ORAN;Algerie;41828004;;;;;
SARL BMSAS ELBI;10 , RUE HAMIDI SAID - BIRKHADEM ALGER;ALGER;Algerie;021 35 47 20;021.35.33.34;info@bms-electric.com/marketing@bms-electric.com;www.bms-electric.com;;
SARL CARF NEGOCE;RN 74 TIMERMEZ SEDDOUK BEJAIA;BEJAIA;Algerie;034.89.31.98;034.89.35.02;sarlcarf@yahoo.fr/m.chikhoune@carfgroupe.com;;;
SARLCGMSG;ZACW 127 SOR EL GHOZLANE;BOUIRA;Algerie;026 76 31 31;026 76 31 22;LOUNISCGMSG@GMAIL.COM;;;
SARL CTS;ZEA MEZLOUG W.SETIF;SETIF;Algerie;036 74 61 20/0661 35 17 06 ;036 74 61 23;cts_chibane@yahoo.fr;;;
SARL DECO CRYSTAL COMMERCEETINDUSTRIE;13 RUE ES ECOLES ZAABANA;BLIDA;Algerie;;;;;;
SARL EXIM ENERGIE COMPAGNIE;CITE 1100 LOGTS BT 83 N 03 DAR EL BEIDA;ALGER;Algerie;021 75 51 39;021 75 51 33;;;;
SARL FGBB CUM;LOT DES JEUN AVEUGLE N 54 DRARIA;ALGER;Algerie;;;;;;
SARL GREA TANA TOLIA BOYA;CITE SERAIJIA COMMUNE DE MEFTAH;BLIDA;Algerie ;;;commercial.anatoliaboya@gmail.com;;;
SARL IZOTHERMEL DJAZAIR;02 RUE MOHAMED BOUDIAF CHERAGA ALGER;ALGER;Algerie;021 34 31 01;021 34 31 01;commercial.izoitherm@gmail.com;;;
SARL JANA TRADING;137 AVENU ALI KHOUDJA N 09 EL BIAR;ALGER;Algerie;;;;;;
SARL METRO ELEVA TOR;BUREAU 0 36 ROUTE NATIONALE LOT N°03 DELY BRAHIM ALGER;ALGER;Algerie;023 31 21 21 /023.31.22.21 ;023 31 20 20 ;;;;
SARL MOD PUB CONSTRUCTION;VILLA 114SIDI MBAREK ROUTE DE AIN NAADJA BIRKHADEMM ALGER;ALGER;Algerie;023 56 15 34/0540.40.89.52/53 ;023 56 15 34 ;mod_pub@hotmail.com;;;
SARL NOUR AUTOMTION;HA I MIHOUB 01 LOT 248 BIS BARAKI-ALGER;ALGER;Algerie ;;;derection@nourautomation.com;;;
SARL PROCLIM;10 RUE MOHAMED DJAGHROUD - 25000 CONSTANTINE;CONSTANTINE;Algerie;031 91 26 26/0770 90 76 12 ;031 92 38 58 ;faiza.benmici@proclim.dz contact@proclim.dz;;;
