,tweet_id,text,task1,task2,ID
43,1.1303125621242675e+18,@Boogie2988 I’m assuming you are talking about GOT but I don’t watch that show so I have no idea what you’re talking about.,HOF,HATE,hasoc_2020_en_3785
58,1.1268483941844828e+18,RT @realDonaldTrump: James Comey is a disgrace to the FBI &amp; will go down as the worst Director in its long and once proud history. He broug…,HOF,HATE,hasoc_2020_en_422
59,1.1236054757890335e+18,RT @DatNiggaBooty: Put yo face in his ass 🍑😝💦 https://t.co/kHnuzN54yY,HOF,HATE,hasoc_2020_en_2563
71,1.1268185265583473e+18,"RT @sohmer: @realDonaldTrump The Importer pays the tariffs, you fucking moron. You’ve levied a sales tax on yours own citizens.",HOF,HATE,hasoc_2020_en_4070
74,1.12686112809148e+18,"RT @readkropotkin: We hate nazis right?? We extra hate nazis who work for the NC division of prisons right??? 

Glad you're on board. This…",HOF,HATE,hasoc_2020_en_3341
78,1.1269225956332216e+18,"RT @SmStains007: Modi will never again represent the myriad dreams and aspirations of 2014. Then he was a messiah, ushering in a future too…",HOF,HATE,hasoc_2020_en_341
80,1.1302949921934336e+18,"RT @Jazzlaro: If Muslims hate Dogs🐶 Beer🍺Bacon 🥓Bikinis 👙 Jesus 🙏&amp; Freedom of Speech 🗣, why exactly do they come to America? 🇺🇸",HOF,HATE,hasoc_2020_en_1910
145,1.1267830259565732e+18,"RT @Mic_Pim: I wonder what trump supporters think about my undocumented ass graduating undergrad in 4 years with: 
-3 majors (Chem,Math,Bio…",HOF,HATE,hasoc_2020_en_4611
155,1.1234750245209129e+18,RT @pomusana: y’all can stick your damn crying tweets up your ass and i honestly feel bad for blackpink and that they have fans like you gu…,HOF,HATE,hasoc_2020_en_335
189,1.1236859141385459e+18,RT @marleygonarley: My bitch a backwood ur bitch a swisher sweet niggggga https://t.co/plnnqCLpWt,HOF,HATE,hasoc_2020_en_366
213,1.1235627526043484e+18,RT @Lubchansky: good to know rich people have always been dumb as shit https://t.co/otdmH0wquk,HOF,HATE,hasoc_2020_en_1473
220,1.1301352940518687e+18,This shit got me dead💀💀💀 but y’all wild as hell yall basically calling this nigga a child molester,HOF,HATE,hasoc_2020_en_2558
232,1.1268144706370191e+18,"@realDonaldTrump No, most Americans think you are a disgrace. Case closed.",HOF,HATE,hasoc_2020_en_4513
240,1.1301613910320988e+18,RT @BrennenTaylor: Beauty gurus are so problematic... can’t yall just not shit talk eachother and just post videos? This is not some compet…,HOF,HATE,hasoc_2020_en_4686
298,1.1300909896563999e+18,@MiguelSantosIII @tamwelsh Yes. Unfortunately they are very stupid.,HOF,HATE,hasoc_2020_en_5381
318,1.1302027300841308e+18,RT @HHypocrisy101: We have more of a chance and opportunity now that we ever did with the rest of the spineless GoP...I think we might fina…,HOF,HATE,hasoc_2020_en_5023
324,1.1267923079473193e+18,RT @kimpetras: why nobody say shit when dudes sing bout drugs n sex n alcohol but when a girl does it it’s wrong and vapid and stupid . thi…,HOF,HATE,hasoc_2020_en_3673
329,1.1267912467925934e+18,RT @Diamond_Symmone: Posting a nigga was the most ghetto shit i have ever done,HOF,HATE,hasoc_2020_en_5383
